holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,is_holiday,hour,day_of_week,month,year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,temp_c,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,traffic_volume_lag_1h,traffic_volume_lag_3h,traffic_volume_lag_24h,rolling_3h_mean
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,0,9,1,10,2012,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,15.129999999999995,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,0,10,1,10,2012,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,16.210000000000036,0,1,0,0,0,0,0,0,0,0,0,5545.0,0.0,0.0,5545.0
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,0,11,1,10,2012,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,16.430000000000007,0,1,0,0,0,0,0,0,0,0,0,4516.0,0.0,0.0,5030.5
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,0,12,1,10,2012,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,16.980000000000018,0,1,0,0,0,0,0,0,0,0,0,4767.0,5545.0,0.0,4942.666666666667
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,0,13,1,10,2012,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,17.99000000000001,0,1,0,0,0,0,0,0,0,0,0,5026.0,4516.0,0.0,4769.666666666667
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,0,14,1,10,2012,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,18.57000000000005,1,0,0,0,0,0,0,0,0,0,0,4918.0,4767.0,0.0,4903.666666666667
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,0,15,1,10,2012,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,20.02000000000004,1,0,0,0,0,0,0,0,0,0,0,5181.0,5026.0,0.0,5041.666666666667
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,0,16,1,10,2012,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,20.710000000000036,1,0,0,0,0,0,0,0,0,0,0,5584.0,4918.0,0.0,5227.666666666667
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,0,17,1,10,2012,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,20.99000000000001,0,1,0,0,0,0,0,0,0,0,0,6015.0,5181.0,0.0,5593.333333333333
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,0,18,1,10,2012,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,19.950000000000045,0,1,0,0,0,0,0,0,0,0,0,5791.0,5584.0,0.0,5796.666666666667
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,0,19,1,10,2012,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,17.82000000000005,0,1,0,0,0,0,0,0,0,0,0,4770.0,6015.0,0.0,5525.333333333333
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,0,20,1,10,2012,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,16.230000000000018,1,0,0,0,0,0,0,0,0,0,0,3539.0,5791.0,0.0,4700.0
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,0,21,1,10,2012,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,15.460000000000036,1,0,0,0,0,0,0,0,0,0,0,2784.0,4770.0,0.0,3697.6666666666665
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,0,22,1,10,2012,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,14.010000000000048,1,0,0,0,0,0,0,0,0,0,0,2361.0,3539.0,0.0,2894.6666666666665
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,0,23,1,10,2012,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,12.300000000000011,1,0,0,0,0,0,0,0,0,0,0,1529.0,2784.0,0.0,2224.6666666666665
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,0,0,2,10,2012,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,11.480000000000018,1,0,0,0,0,0,0,0,0,0,0,963.0,2361.0,0.0,1617.6666666666667
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,0,1,2,10,2012,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,10.32000000000005,1,0,0,0,0,0,0,0,0,0,0,506.0,1529.0,0.0,999.3333333333334
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,0,2,2,10,2012,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,8.03000000000003,1,0,0,0,0,0,0,0,0,0,0,321.0,963.0,0.0,596.6666666666666
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,0,3,2,10,2012,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,7.939999999999998,1,0,0,0,0,0,0,0,0,0,0,273.0,506.0,0.0,366.6666666666667
